domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636227461,False,_gat_gtag_UA_80909769_7,/,False,1
nairobi24.co.ke,1670156605,False,_wsm_id_1_a7d6,/,False,498a8f267b2bda8a.1636201405.1.1636227417.1636201405
.nairobi24.co.ke,,False,_wsm_ref_1_a7d6,/,True,%5B%22%22%2C%22%22%2C1636201405%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_ses_1_a7d6,/,True,*
.nairobi24.co.ke,1699299401,False,_ga,/,False,GA1.3.1462691501.1636201405
.nairobi24.co.ke,1636313801,False,_gid,/,False,GA1.3.906925599.1636201405
.nairobi24.co.ke,,False,__gads,/,True,ID=2a791a5b86e5d6cf-224d3e25d2cc00d6:T=1636201411:RT=1636201411:S=ALNI_MblPkOMh55J-rcX-9L4aPFv6guc0A
nairobi24.co.ke,1651995303,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636227304%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_id_1_a7d6,/,True,498a8f267b2bda8a.1636201405.1.1636201489.1636201405
nairobi24.co.ke,1636229216,False,_wsm_ses_1_a7d6,/,False,*
